Node,PageRank
Human Coronavirus HKU1 Spike Protein Uses O-Acetylated Sialic Acid as an Attachment Receptor Determinant and Employs Hemagglutinin-Esterase Protein as a Receptor-Destroying Enzyme - PubMed.html,0.000512786
Hydrogen sulfide protects from acute kidney injury via attenuating inflammation activated by necroptosis in dogs - PubMed.html,0.000456203
Identification of a conservative site in the African swine fever virus p54 protein and its preliminary application in a serological assay - PubMed.html,0.000367496
Identification of a mimotope of an infectious bronchitis virus S1 protein - PubMed.html,0.00029833
Identification of an Intramolecular Switch That Controls the Interaction of Helicase nsp10 with Membrane-Associated nsp12 of Porcine Reproductive and Respiratory Syndrome Virus - PubMed.html,0.000463699
Identification of Medium-Length Antineurofilament Autoantibodies in Patients with Anti-N-Methyl-D-Aspartate Receptor Encephalitis - PubMed.html,0.000290224
IDH2R172 mutations define a unique subgroup of patients with angioimmunoblastic T-cell lymphoma - PubMed.html,0.000652557
IL-24 Contributes to Neutrophilic Asthma in an IL-17A-Dependent Manner and Is Suppressed by IL-37 - PubMed.html,0.000299155
Immunohistochemical detection of p53 protein and proliferating cell nuclear antigen (pcna) in salivary-gland tumors - PubMed.html,0.000186359
"Impact assessment of crude oil mix, electricity generation mix, and vehicle technology on road freight emission reduction in China - PubMed.html",0.000303415
Impact of General Factors on Glioma Immunotherapy - PubMed.html,0.00026117
Impact of metabolic surgery on 10-year cardiovascular disease risk in Chinese individuals with type 2 diabetes - PubMed.html,0.000282017
Impacts of acute hepatopancreatic necrosis disease on commercial shrimp aquaculture - PubMed.html,0.000245235
Important Role of Immunological Responses to Environmental Exposure in the Development of Allergic Asthma - PubMed.html,0.000308448
Improving the DC Dielectric Properties of XLPE with Appropriate Content of Dicumyl Peroxide for HVDC Cables Insulation - PubMed.html,0.000282528
Increased arterial pressure volume index and cardiovascular risk score in China - PubMed.html,0.000375541
Inflammatory Endotypes and Tissue Remodeling Features in Antrochoanal Polyps - PubMed.html,0.000322169
Influence of Intranasal Drugs on Human Nasal Mucociliary Clearance and Ciliary Beat Frequency - PubMed.html,0.000277846
Influence of reduced N-fertilizer application on foliar chemicals and functional qualities of tea plants under Toxoptera aurantii infestation - PubMed.html,0.000402678
Inhibition of MicroRNA-92a Improved Erectile Dysfunction in Streptozotocin-Induced Diabetic Rats via Suppressing Oxidative Stress and Endothelial Dysfunction - PubMed.html,0.00029474
Interaction between ACOT7 and LncRNA NMRAL2P via Methylation Regulates Gastric Cancer Progression - PubMed.html,0.000439376
Interaction between Brucella melitensis 16M and small ubiquitin-related modifier 1 and E2 conjugating enzyme 9 in mouse RAW264.7 macrophages - PubMed.html,0.00042087
Interfacial assembly of binary atomic metal-Nx sites for high-performance energy devices - PubMed.html,0.000368866
Investigating Aging Characteristics of Oil-Immersed Power Transformers&#x27; Insulation in Electrical-Thermal-Mechanical Combined Conditions - PubMed.html,0.000270747
"Investigation on deterrence effect of legal punishment measures on driving after drinking in Chongqing, China - PubMed.html",0.000245787
Isolated Tin(IV) Active Sites for Highly Efficient Electroreduction of CO2 to CH4 in Neutral Aqueous Solution - PubMed.html,0.000176962
Isolation of feline panleukopenia virus from Yanji of China and molecular epidemiology from 2021 to 2022 - PubMed.html,0.000320128
"Isolation, identification, and whole genome sequencing of reticuloendotheliosis virus from a vaccine against Marek&#x27;s disease - PubMed.html",0.000353918
Jamming of Miscible Liquids via Electrostatic Repulsion Between Polystyrene-Modified Gold Nanorods and Toluene - PubMed.html,0.000196506
Large Out-of-Plane Displacement Bistable Electromagnetic Microswitch on a Single Wafer - PubMed.html,0.000299432
"Latent profiles of emotion regulation strategies associated with alexithymia, nonsuicidal self-injury and resilience among nursing students - PubMed.html",0.000286809
Limited Clinical Utility of Lipid-Laden Macrophage Index of Induced Sputum in Predicting Gastroesophageal Reflux-Related Cough - PubMed.html,0.000284064
Lipid droplet-dependent fatty acid metabolism controls the immune suppressive phenotype of tumor-associated macrophages - PubMed.html,0.000539734
Locating the hydrogen atoms in endohedral clusterfullerenes by density functional theory - PubMed.html,0.000151019
Long Noncoding RNA LINC01133 Confers Tumor-Suppressive Functions in Ovarian Cancer by Regulating Leucine-Rich Repeat Kinase 2 as an miR-205 Sponge - PubMed.html,0.000370588
Long noncoding RNA SYISL regulates myogenesis by interacting with polycomb repressive complex 2 - PubMed.html,0.000441666
Long Noncoding-RNA Component of Mitochondrial RNA Processing Endoribonuclease Promotes Carcinogenesis in Triple-Negative Breast Cancer Cells via the Competing Endogenous RNA Mechanism - PubMed.html,0.000261731
Long-term exposure to fine particulate matter modifies the association between physical activity and hypertension incidence - PubMed.html,0.000401485
Loss of Ripk3 attenuated neutrophil accumulation in a lipopolysaccharide-induced zebrafish inflammatory model - PubMed.html,0.000309388
Loss-induced nonreciprocity - PubMed.html,0.000308145
Luminescence Mechanism of Carbon Dots by Tailoring Functional Groups for Sensing Fe3+ Ions - PubMed.html,0.000345588
Macrophage and Adipocyte Mitochondrial Dysfunction in Obesity-Induced Metabolic Diseases - PubMed.html,0.000273419
Magnetic Relaxations of Chromium Nitride Porphyrinato Complexes Driven by the Anisotropic g-Factor - PubMed.html,0.000168525
Management Practice of Allergic Rhinitis in China During the COVID-19 Pandemic - PubMed.html,0.000256879
Matching-Based Resource Allocation for Satellite-Ground Network - PubMed.html,0.000251727
Mechanisms Underlying the Protective Effect of Maternal Zinc (ZnSO4 or Zn-Gly) against Heat Stress-Induced Oxidative Stress in Chicken Embryo - PubMed.html,0.000310694
Megaloptera of Canada - PubMed.html,0.00016787
Mesenchymal Stem Cells and Cell Therapy for Bone Repair - PubMed.html,0.000251147
Metal-encapsulation induces a highly regioselective Bingel-Hirsch reaction of the labile Y@ Cs(6)-C82 - PubMed.html,0.000175069
"Micro-agents&#x27; perception of landscape services and their multi-level driving influences in the headwater area of the Qiantang River, China - PubMed.html",0.000210877
MicroRNA-1246 Inhibits NFATc1 Phosphorylation and Regulates T Helper 17 Cell Activation in the Pathogenesis of Severe Alopecia Areata - PubMed.html,0.00024905
miR-106b Promotes Metastasis of Early Gastric Cancer by Targeting ALEX1 in Vitro and in Vivo - PubMed.html,0.000466821
miR-638 Serves as a Biomarker of 5-Fluorouracil Sensitivity to Neoadjuvant Chemotherapy in Breast Cancer - PubMed.html,0.000263177
Modelling the reopen strategy from dynamic zero-COVID in China considering the sequela and reinfection - PubMed.html,0.000331161
"Molecular and morphological evidence reveals a hidden new taxon in the endemic genus Pseudocuneopsis (Bivalvia, Unionidae) from China - PubMed.html",0.000228214
"Molecular detection and genetic diversity of bovine papillomavirus in dairy cows in Xinjiang, China - PubMed.html",0.000385671
Molecular diagnose of a large hearing loss population from China by targeted genome sequencing - PubMed.html,0.000504917
Molecular epidemiology of H5N1 avian influenza - PubMed.html,0.00030211
Molecular evolutionary analysis reveals Arctic-like rabies viruses evolved and dispersed independently in North and South Asia - PubMed.html,0.000350671
Molecular Mechanism of Porcine Epidemic Diarrhea Virus Cell Tropism - PubMed.html,0.000446915
Multidimensional analysis of gene expression reveals TGFB1I1-induced EMT contributes to malignant progression of astrocytomas - PubMed.html,0.000528053
Multiplex Cytokine Profiling Identifies Interleukin-27 as a Novel Biomarker For Neonatal Early Onset Sepsis - PubMed.html,0.000488546
Multiplex sequencing of pooled mitochondrial genomes-a crucial step toward biodiversity analysis using mito-metagenomics - PubMed.html,0.00272589
Mussel-inspired cortical bone-adherent bioactive composite hydrogels promote bone augmentation through sequential regulation of endochondral ossification - PubMed.html,0.000250998
Myocardin Reverses Hypoxia-Inducible Factor-1α Mediated Phenotypic Modulation of Corpus Cavernosum Smooth Muscle Cells in Hypoxia Induced by Cobalt Chloride - PubMed.html,0.000281517
Nanowires Framework Supported Porous Lotus-Carbon Anode Boosts Lithium-Ion and Sodium-Ion Batteries - PubMed.html,0.000187256
Nasal Nitric Oxide Is Correlated With Nasal Patency and Nasal Symptoms - PubMed.html,0.000287033
"National PM2.5 and NO2 exposure models for China based on land use regression, satellite measurements, and universal kriging - PubMed.html",0.000222437
Neoadjuvant Chemotherapy in Asian Patients With Locally Advanced Gastric Cancer - PubMed.html,0.000245035
